## RECSRecommendations Upload File
## RECS''## RECS'' indicates a Recommendations pre-process header. Please do not remove these lines.
## RECS
## RECSUse this file to upload product display information to Recommendations. Each product has its own row. Each line must contain 19 values and if not all are filled a space should be left.
## RECSThe last 100 columns (entity.custom1 - entity.custom100) are custom. The name 'customN' can be replaced with a custom name such as 'onSale' or 'brand'.
## RECSIf the products already exist in Recommendations then changes uploaded here will override the data in Recommendations. Any new attributes entered here will be added to the product''s entry in Recommendations.
## RECSentity.id,entity.name,entity.categoryId,entity.message,entity.thumbnailUrl,entity.value,entity.pageUrl,entity.inventory,entity.margin,entity.store,entity.condition,entity.state,entity.city,entity.custom5,entity.custom6,entity.custom7,entity.custom8,entity.custom9,entity.custom10
58386493,VOLVO XC40,carro,compre,https://image.webmotors.com.br/_fotos/anunciousados/gigante/2025/202506/20250611/volvo-xc40-p6-recharge-electric-plus-wmimagem14523171894.jpg?s=fill&w=552&h=414&q=60,249.99,https://www.webmotors.com.br/comprar/volvo/xc40/p6-recharge-electric-plus/4-portas/2023-2024/58386493,1,1.0,GNCSUECIA,usado,ce,fortaleza,,,,,,
58064194,GWM ORA,carro,compre,https://image.webmotors.com.br/_fotos/anunciousados/gigante/2025/202503/20250327/gwm-ora-03-48-kw-eletrico-skin-wmimagem22350592739.jpg?s=fill&w=552&h=414&q=60,147.9,https://www.webmotors.com.br/comprar/gwm/ora-03/48-kw-eletrico-skin/4-portas/2023-2024/58064194,1,1.0,Zerado,usado,ce,fortaleza,,,,,,
59060883,AUDI Q6,carro,compre,https://image.webmotors.com.br/_fotos/anunciousados/gigante/2025/202505/20250519/audi-q6-etron-100-kw-eletrico-performance-black-quattro-wmimagem13065150420.webp?s=fill&w=552&h=414&q=60,569.99,https://www.webmotors.com.br/comprar/audi/q6-e-tron/100-kw-eletrico-performance-black-quattro/4-portas/2024-2025/59060883,1,1.0,Audi Center Lapa Sorana,usado,ce,fortaleza,,,,,,
57310839,MINI COOPER,carro,compre,https://image.webmotors.com.br/_fotos/anunciousados/gigante/2025/202504/20250401/mini-cooper-se-top-2p-eletrico-wmimagem12231340679.jpg?s=fill&w=552&h=414&q=60,409.99,https://www.webmotors.com.br/comprar/byd/tan/eletrico-awd/4-portas/2024-2025/58685456,1,1.0,Carmais Seminovos,usado,ce,fortaleza,,,,,,
59266987,BYD YUAN,carro,compre,https://image.webmotors.com.br/_fotos/anunciousados/gigante/2025/202505/20250529/byd-yuan-plus-608-kw-eletrico-wmimagem13554657215.webp?s=fill&w=552&h=414&q=60,178.99,https://www.webmotors.com.br/comprar/byd/yuan-plus/608-kw-eletrico/4-portas/2023/59266987,1,1.0,Carmais Unique,usado,ce,fortaleza,,,,,,
59579873,FIAT MOBI,carro,compre,https://image.webmotors.com.br/_fotos/anunciousados/gigante/2025/202506/20250613/fiat-mobi-1.0-evo-flex-like.-manual-wmimagem09304700117.jpg?s=fill&w=552&h=414&q=60,69.29,https://www.webmotors.com.br/comprar/fiat/mobi/10-evo-flex-like-manual/4-portas/2024-2025/59579873,1,1.0,Localiza,usado,ce,fortaleza,,,,,,
58867801,BMW X4,carro,compre,https://image.webmotors.com.br/_fotos/anunciousados/gigante/2025/202505/20250508/bmw-x4-2.0-16v-gasolina-xdrive20i-m-sport-steptronic-wmimagem21025185621.jpg?s=fill&w=552&h=414&q=60,457.95,https://www.webmotors.com.br/comprar/bmw/x4/20-16v-gasolina-xdrive20i-m-sport-steptronic/4-portas/2025/58867801,1,1.0,Iesa Bmw,usado,rs,porto alegre,,,,,,
57305067,MINI COUNTRYMAN,carro,compre,https://image.webmotors.com.br/_fotos/anunciousados/gigante/2025/202502/20250212/mini-countryman-6645-kw-eletrico-se-top-all4-wmimagem17042363318.jpg?s=fill&w=552&h=414&q=60,379.99,https://www.webmotors.com.br/comprar/mini/countryman/6645-kw-eletrico-se-top-all4/4-portas/2024-2025/57305067,1,1.0,Iesa Bmw,usado,rs,porto alegre,,,,,,
57736262,BMW 320i,carro,compre,https://image.webmotors.com.br/_fotos/anunciousados/gigante/2025/202503/20250310/bmw-320i-2.0-16v-turbo-flex-m-sport-automatico-wmimagem21201217916.jpg?s=fill&w=552&h=414&q=60,386.95,https://www.webmotors.com.br/comprar/bmw/320i/20-16v-turbo-flex-m-sport-automatico/4-portas/2025/57736262,1,1.0,Iesa Bmw,usado,rs,porto alegre,,,,,,
59150093,TOYOTA GR COROLLA,carro,compre,https://image.webmotors.com.br/_fotos/anunciousados/gigante/2025/202505/20250523/toyota-gr-corolla-1-6-turbo-gasolina-circuit-grfour-manual-wmimagem17512560235.webp?s=fill&w=552&h=414&q=60,461.99,https://www.webmotors.com.br/comprar/toyota/gr-corolla/16-turbo-gasolina-circuit-gr-four-manual/4-portas/2023-2024/59150093,1,1.0,Toyota,usado,rs,porto alegre,,,,,,
59367807,RENAULT MASTER,carro,compre,https://image.webmotors.com.br/_fotos/anunciousados/gigante/2025/202506/20250604/renault-master-2-3-dci-diesel-extra-vitre-l3h2-3p-manual-wmimagem00295771412.webp?s=fill&w=552&h=414&q=60,176.99,https://www.webmotors.com.br/comprar/renault/master/23-dci-diesel-extra-vitre-l3h2-3p-manual/4-portas/2025-2026/59367807,1,1.0,Center Vans E Micros Me,usado,sp,sao paulo,,,,,,
59515942,NISSAN SENTRA,carro,compre,https://image.webmotors.com.br/_fotos/anunciousados/gigante/2025/202506/20250612/nissan-sentra-2.0-16v-gasolina-exclusive-xtronic-wmimagem01531280215.jpg?s=fill&w=552&h=414&q=60,176.99,https://www.webmotors.com.br/comprar/nissan/sentra/20-16v-gasolina-exclusive-xtronic/4-portas/2025-2026/59515942,1,1.0,Nissan Dahruj Braz Leme,usado,sp,sao paulo,,,,,,
59524248,AUDI Q5,carro,compre,https://image.webmotors.com.br/_fotos/anunciousados/gigante/2025/202506/20250610/audi-q5-2.0-45-tfsi-gasolina-sline-quattro-s-tronic-wmimagem16033464612.jpg?s=fill&w=552&h=414&q=60,374.9,https://www.webmotors.com.br/comprar/audi/q5/20-45-tfsi-gasolina-s-line-quattro-s-tronic/4-portas/2023/59524248,1,1.0,Audi Center Lapa Sorana,usado,sp,sao paulo,,,,,,
